X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle
25869,13,SB0832,cattle,cattle,64420012_33,64420012_23,64420012,64420012,within,62,-1,64,abattage,524,135,cattle->cattle,2012,2,b2016,235,235
25870,13,SB0832,cattle,cattle,64420012_31,64420012_6,64420012,64420012,within,62,63,64,abattage,525,135,cattle->cattle,2012,2,b2016,235,235
25871,13,SB0832,cattle,cattle,64420035_21,64420035_12,64420035,64420035,within,62,66,68,abattage,526,135,cattle->cattle,2012,6,b2016,235,235
25872,13,SB0832,cattle,cattle,64420035_23,64420035_2,64420035,64420035,within,62,66,68,abattage,527,135,cattle->cattle,2012,6,b2016,235,235
25873,13,SB0832,cattle,cattle,64420035_22,64420035_3,64420035,64420035,within,62,65,67,demographie,528,135,cattle->cattle,2012,5,b2016,235,235
25874,13,SB0832,cattle,cattle,64420035_24,64420035_4,64420035,64420035,within,62,67,68,abattage,529,135,cattle->cattle,2012,6,b2016,235,235
25875,13,SB0832,cattle,cattle,64420035_25,64420035_5,64420035,64420035,within,62,64,68,abattage,530,135,cattle->cattle,2012,6,b2016,235,235
25876,13,SB0832,cattle,cattle,64420038_21,64420038_5,64420038,64420038,within,62,-1,65,abattage,531,135,cattle->cattle,2012,3,b2016,235,235
25877,13,SB0832,cattle,cattle,64420039_11,64420039_1,64420039,64420039,within,62,62,66,abattage,532,135,cattle->cattle,2012,4,b2016,235,235
25878,13,SB0832,cattle,cattle,64281001_8,64281001_1,64281001,64281001,within,63,66,67,abattage,536,135,cattle->cattle,2012,4,b2016,235,235
25879,13,SB0832,cattle,cattle,64420012_34,64420012_0,64420012,64420012,within,63,-1,64,abattage,537,135,cattle->cattle,2012,1,b2016,235,235
25880,13,SB0832,cattle,cattle,64420012_35,64420012_11,64420012,64420012,within,63,64,64,abattage,538,135,cattle->cattle,2012,1,b2016,235,235
25881,13,SB0832,cattle,cattle,64420035_26,64420035_6,64420035,64420035,within,63,-1,68,abattage,539,135,cattle->cattle,2012,5,b2016,235,235
25882,13,SB0832,cattle,cattle,64420035_27,64420035_7,64420035,64420035,within,63,64,68,abattage,540,135,cattle->cattle,2012,5,b2016,235,235
25883,13,SB0832,cattle,cattle,64420038_22,64420038_3,64420038,64420038,within,63,-1,65,abattage,541,135,cattle->cattle,2012,2,b2016,235,235
25884,13,SB0832,cattle,cattle,64420038_23,64420038_3,64420038,64420038,within,63,-1,65,abattage,542,135,cattle->cattle,2012,2,b2016,235,235
25885,13,SB0832,cattle,cattle,64420012_36,64420012_1,64420012,64420012,within,64,-1,64,abattage,554,135,cattle->cattle,2012,0,b2016,235,235
25886,13,SB0832,cattle,cattle,64420012_37,64420012_35,64420012,64420012,within,64,-1,64,abattage,555,135,cattle->cattle,2012,0,b2016,235,235
25887,13,SB0832,cattle,cattle,64420035_28,64420035_2,64420035,64420035,within,64,66,68,abattage,556,135,cattle->cattle,2012,4,b2016,235,235
25888,13,SB0832,cattle,cattle,64420035_29,64420035_6,64420035,64420035,within,64,-1,68,abattage,557,135,cattle->cattle,2012,4,b2016,235,235
25889,13,SB0832,cattle,cattle,64420038_24,64420038_19,64420038,64420038,within,64,-1,65,abattage,558,135,cattle->cattle,2012,1,b2016,235,235
25890,13,SB0832,cattle,cattle,64420047_19,64420038_6,64420047,64420038,pasture,64,65,72,abattage,559,135,cattle->cattle,2012,8,b2016,235,235
25891,13,SB0832,cattle,cattle,64420047_18,64420038_9,64420047,64420038,pasture,64,65,72,abattage,560,135,cattle->cattle,2012,8,b2016,235,235
25892,13,SB0832,cattle,cattle,64420039_12,64420039_0,64420039,64420039,within,64,-1,66,abattage,561,135,cattle->cattle,2012,2,b2016,235,235
